0,36
0,39
0,51
0,87
1,116
1,164
1,209
2,228
3,321
7,383
7,466
9,590
10,798
28,1140
43,1391
65,1543
81,1950
115,2626
158,3769
194,3983
250,5018
285,5683
359,6650
508,8070
694,9529
877,11658
1161,14543
1455,17089
1669,19522
2043,22141
2425,25150
2353,29474
2921,33718
3605,38168
4313,41903
4934,47806
5373,51608
6159,55242
7097,60733
7978,65077
8958,73758
9875,78991
10612,84279
11329,88621
12107,93873
12868,98476
13729,103093
14576,108692
15464,114217
16060,120067
16509,124743
17337,129044
18100,133495
18738,138078
19506,143464
20319,148377
20732,152840
21092,157149
21678,161145
26097,165221
26771,171253
27510,177454
28131,182260
28446,186599
28734,190584
29427,194990
30076,201101
30615,206715
31241,211364
31587,215260
31855,219183
32065,223060
32692,226463
33186,229705
33614,233151
33998,236711
34466,240161
34636,243695
34796,246406
35341,248818
35704,250332
36042,252947
36393,256234
36793,259193
36793,261598
36914,263233
37048,265227
37460,267240
37837,269127
38161,271222
38376,272826
38489,274762
39045,276332
39369,277985
39728,279856
39904,281661
40261,283311
40465,284868
40542,286194
40597,287399
40883,289140
41128,290143
41279,291409
41481,292950
41662,294375
41698,295889
41736,296857
41969,298136
42153,299251
42288,300469
42461,301815
42589,303110
42632,304331
42647,305289
