97,9.4146e+06,7.08498e+07,2.49736e+08,3.20585e+08,
98,8.77912e+06,6.65785e+07,2.54642e+08,3.21221e+08,
99,8.22127e+06,6.25267e+07,2.59252e+08,3.21779e+08,
100,7.72981e+06,5.86903e+07,2.6358e+08,3.2227e+08,
101,7.29537e+06,5.50633e+07,2.67641e+08,3.22705e+08,
102,6.91009e+06,5.1639e+07,2.71451e+08,3.2309e+08,
103,6.56733e+06,4.84097e+07,2.75023e+08,3.23433e+08,
104,6.26152e+06,4.53674e+07,2.78371e+08,3.23738e+08,
105,5.9879e+06,4.25038e+07,2.81508e+08,3.24012e+08,
106,5.74245e+06,3.98105e+07,2.84447e+08,3.24258e+08,
107,5.5217e+06,3.7279e+07,2.87199e+08,3.24478e+08,
108,5.32272e+06,3.4901e+07,2.89776e+08,3.24677e+08,
109,5.14295e+06,3.26684e+07,2.92189e+08,3.24857e+08,
110,4.9802e+06,3.05733e+07,2.94446e+08,3.2502e+08,
111,4.83256e+06,2.86081e+07,2.96559e+08,3.25167e+08,
112,4.6984e+06,2.67653e+07,2.98536e+08,3.25302e+08,
113,4.57625e+06,2.5038e+07,3.00386e+08,3.25424e+08,
114,4.46487e+06,2.34194e+07,3.02116e+08,3.25535e+08,
115,4.36316e+06,2.19031e+07,3.03734e+08,3.25637e+08,
116,4.27013e+06,2.04829e+07,3.05247e+08,3.2573e+08,
117,4.18493e+06,1.9153e+07,3.06662e+08,3.25815e+08,
118,4.10681e+06,1.7908e+07,3.07985e+08,3.25893e+08,
119,4.03508e+06,1.67427e+07,3.09222e+08,3.25965e+08,
120,3.96916e+06,1.56521e+07,3.10379e+08,3.26031e+08,
121,3.90851e+06,1.46316e+07,3.1146e+08,3.26091e+08,
122,3.85266e+06,1.36768e+07,3.12471e+08,3.26147e+08,
123,3.80117e+06,1.27836e+07,3.13415e+08,3.26199e+08,
124,3.75367e+06,1.19482e+07,3.14298e+08,3.26246e+08,
125,3.70981e+06,1.11668e+07,3.15123e+08,3.2629e+08,
126,3.66928e+06,1.04361e+07,3.15895e+08,3.26331e+08,
127,3.63181e+06,9.75281e+06,3.16615e+08,3.26368e+08,
128,3.59713e+06,9.11393e+06,3.17289e+08,3.26403e+08,
129,3.56503e+06,8.51661e+06,3.17918e+08,3.26435e+08,
130,3.53529e+06,7.95818e+06,3.18507e+08,3.26465e+08,
131,3.50773e+06,7.43616e+06,3.19056e+08,3.26492e+08,
132,3.48217e+06,6.94819e+06,3.1957e+08,3.26518e+08,
133,3.45845e+06,6.49208e+06,3.20049e+08,3.26542e+08,
134,3.43644e+06,6.06577e+06,3.20498e+08,3.26564e+08,
135,3.416e+06,5.66733e+06,3.20917e+08,3.26584e+08,
136,3.39701e+06,5.29496e+06,3.21308e+08,3.26603e+08,
137,3.37937e+06,4.94696e+06,3.21674e+08,3.26621e+08,
138,3.36297e+06,4.62175e+06,3.22015e+08,3.26637e+08,
139,3.34771e+06,4.31786e+06,3.22334e+08,3.26652e+08,
140,3.33353e+06,4.03388e+06,3.22633e+08,3.26666e+08,
141,3.32033e+06,3.76853e+06,3.22911e+08,3.2668e+08,
142,3.30805e+06,3.52059e+06,3.23171e+08,3.26692e+08,
143,3.29661e+06,3.28892e+06,3.23414e+08,3.26703e+08,
144,3.28597e+06,3.07246e+06,3.23642e+08,3.26714e+08,
145,3.27605e+06,2.87022e+06,3.23854e+08,3.26724e+08,
146,3.26682e+06,2.68126e+06,3.24052e+08,3.26733e+08,
147,3.25821e+06,2.50472e+06,3.24237e+08,3.26742e+08,
148,3.2502e+06,2.33979e+06,3.2441e+08,3.2675e+08,
149,3.24273e+06,2.18569e+06,3.24572e+08,3.26757e+08,
150,3.23577e+06,2.04174e+06,3.24723e+08,3.26764e+08,
151,3.22928e+06,1.90725e+06,3.24863e+08,3.26771e+08,
152,3.22322e+06,1.7816e+06,3.24995e+08,3.26777e+08,
153,3.21758e+06,1.66423e+06,3.25118e+08,3.26782e+08,
154,3.21232e+06,1.55458e+06,3.25233e+08,3.26788e+08,
155,3.20741e+06,1.45214e+06,3.2534e+08,3.26793e+08,
156,3.20284e+06,1.35645e+06,3.25441e+08,3.26797e+08,
157,3.19857e+06,1.26706e+06,3.25534e+08,3.26801e+08,
158,3.19458e+06,1.18356e+06,3.25622e+08,3.26805e+08,
159,3.19087e+06,1.10555e+06,3.25704e+08,3.26809e+08,
160,3.1874e+06,1.03268e+06,3.2578e+08,3.26813e+08,
161,3.18416e+06,964612,3.25851e+08,3.26816e+08,
162,3.18115e+06,901027,3.25918e+08,3.26819e+08,
163,3.17833e+06,841631,3.2598e+08,3.26822e+08,
164,3.1757e+06,786148,3.26038e+08,3.26824e+08,
165,3.17324e+06,734320,3.26092e+08,3.26827e+08,
166,3.17095e+06,685908,3.26143e+08,3.26829e+08,
167,3.16882e+06,640686,3.26191e+08,3.26831e+08,
168,3.16682e+06,598445,3.26235e+08,3.26833e+08,
169,3.16496e+06,558987,3.26276e+08,3.26835e+08,
170,3.16322e+06,522130,3.26315e+08,3.26837e+08,
171,3.16159e+06,487702,3.26351e+08,3.26838e+08,
172,3.16008e+06,455544,3.26384e+08,3.2684e+08,
173,3.15866e+06,425505,3.26416e+08,3.26841e+08,
174,3.15734e+06,397447,3.26445e+08,3.26843e+08,
175,3.15611e+06,371238,3.26473e+08,3.26844e+08,
176,3.15495e+06,346758,3.26498e+08,3.26845e+08,
177,3.15388e+06,323891,3.26522e+08,3.26846e+08,
178,3.15287e+06,302532,3.26545e+08,3.26847e+08,
179,3.15194e+06,282581,3.26565e+08,3.26848e+08,
180,3.15106e+06,263945,3.26585e+08,3.26849e+08,
181,3.15024e+06,246539,3.26603e+08,3.2685e+08,
182,3.14948e+06,230280,3.2662e+08,3.26851e+08,
183,3.14877e+06,215093,3.26636e+08,3.26851e+08,
184,3.1481e+06,200907,3.26651e+08,3.26852e+08,
185,3.14748e+06,187657,3.26665e+08,3.26853e+08,
186,3.1469e+06,175281,3.26678e+08,3.26853e+08,
187,3.14636e+06,163721,3.2669e+08,3.26854e+08,
188,3.14585e+06,152923,3.26701e+08,3.26854e+08,
189,3.14538e+06,142837,3.26712e+08,3.26855e+08,
190,3.14493e+06,133417,3.26722e+08,3.26855e+08,
191,3.14452e+06,124617,3.26731e+08,3.26855e+08,
192,3.14414e+06,116398,3.26739e+08,3.26856e+08,
193,3.14378e+06,108721,3.26748e+08,3.26856e+08,
194,3.14344e+06,101551,3.26755e+08,3.26857e+08,
195,3.14313e+06,94852.9,3.26762e+08,3.26857e+08,
196,3.14283e+06,88596.8,3.26769e+08,3.26857e+08,
197,3.14256e+06,82753.4,3.26775e+08,3.26857e+08,
198,3.1423e+06,77295.3,3.2678e+08,3.26858e+08,
199,3.14206e+06,72197.2,3.26786e+08,3.26858e+08,
200,3.14184e+06,67435.3,3.26791e+08,3.26858e+08,
201,3.14163e+06,62987.5,3.26795e+08,3.26858e+08,
202,3.14144e+06,58833.1,3.268e+08,3.26859e+08,
203,3.14126e+06,54952.6,3.26804e+08,3.26859e+08,
204,3.14109e+06,51328.1,3.26808e+08,3.26859e+08,
205,3.14093e+06,47942.6,3.26811e+08,3.26859e+08,
206,3.14078e+06,44780.4,3.26814e+08,3.26859e+08,
207,3.14064e+06,41826.8,3.26818e+08,3.26859e+08,
208,3.14051e+06,39068,3.2682e+08,3.26859e+08,
209,3.14039e+06,36491.2,3.26823e+08,3.2686e+08,
210,3.14028e+06,34084.3,3.26826e+08,3.2686e+08,
211,3.14017e+06,31836.2,3.26828e+08,3.2686e+08,
212,3.14008e+06,29736.3,3.2683e+08,3.2686e+08,
213,3.13998e+06,27775,3.26832e+08,3.2686e+08,
214,3.1399e+06,25943,3.26834e+08,3.2686e+08,
215,3.13982e+06,24231.8,3.26836e+08,3.2686e+08,
216,3.13974e+06,22633.5,3.26838e+08,3.2686e+08,
217,3.13967e+06,21140.6,3.26839e+08,3.2686e+08,
218,3.13961e+06,19746.2,3.26841e+08,3.2686e+08,
